Title,Description,Status,Priority,Labels,Project,Milestone,Parent,BlockedBy,Kind,CatalogId
[Slice B] Snapshot-bound approval,"## Goal
Human approval bound to an immutable QuerySnapshot (created in Slice A U7). Changed results require a new approval.

## Status
**Placeholder** for Slice B. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-022

## Notes
Placeholder only. Slice A already freezes snapshots; this issue adds actor, motivation, expiry, and the approval record. Standing `approval_policy` score mode is **out of this placeholder**.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,"slice-b, blocked",Job Intelligence,Slice B,SLICE-B,"DEC-006, U7",placeholder,SB-APPROVAL
[Slice B] Idempotent export,"## Goal
Export only newly approved aanvragen. Stable `target + canonical_vacancy_id + action_type` causes at most one create.

## Status
**Placeholder** for Slice B. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-023

## Notes
Placeholder only. Do not implement `commit_export` until DEC-006. Updates use a separate approved action. A schedule may only create a new pending snapshot — never export without a fresh human approval.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,"slice-b, blocked",Job Intelligence,Slice B,SLICE-B,"DEC-006, SB-API, SB-APPROVAL",placeholder,SB-EXPORT
[Slice B] Export receipts and ID crosswalk,"## Goal
Every success/failure is reconcilable. HTTP 200 is not proof of effect.

## Status
**Placeholder** for Slice B. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-024

## Notes
Placeholder only. Retries/DLQ (JI-025) and scheduled proposals (JI-026) are not issued yet. Sandbox e2e (JI-053) waits on this plus DEC-006.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,"slice-b, blocked",Job Intelligence,Slice B,SLICE-B,"DEC-006, SB-EXPORT",placeholder,SB-RECEIPTS
[Slice C] Source expansion and hardening,"## Goal
Roadmap container for remaining accepted bronnen plus operational hardening after Slice A.

## Status
**Placeholder epic.** Not implementation-ready. **Do not** create one issue per of the 23 bronnen in `docs/SOURCE_MATRIX.md`.

## Children (placeholders only)
- Remaining accepted sources (bucket)
- Anomaly alerting
- Replay / backfill
- Load tests

## Out of this epic (intentionally not issued)
Per-source tickets, Randstad Enterprise connector, Indeed (JI-007), Magnit/Circle8 until accounts exist.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,slice-c,Job Intelligence,Slice C,,SLICE-A,epic,SLICE-C
[Slice C] Remaining accepted sources (not per-bron tickets),"## Goal
Expand beyond the two Slice A connectors using existing adapter categories (`feed | json-api | json-ld | html`), then rung-3 only after accounts exist.

## Status
**Placeholder** for Slice C. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
SOURCE_MATRIX.md ladder after TenderNed + Inhuurdesk

## Notes
Placeholder **bucket**, not 23 tickets.

Suggested later order (from SOURCE_MATRIX, not committed scope): CTM-Atom → Need Staffing → BlueTrail/Hero/Pro-Act (JSON-LD adapter) → v1-migratie → rung 3 when Robbie has accounts.

**Out:** Randstad Enterprise (ToS forbids automated search). Indeed stays JI-007 / DEC-002. Do not file one issue per bron in this import.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,slice-c,Job Intelligence,Slice C,SLICE-C,"SLICE-A, DEC-002",placeholder,SC-SOURCES
[Slice C] Anomaly alerting beyond Slice A silence events,"## Goal
Route source-silence and volume-drop events to an owner, ack/escalate, then bounded recovery ladder. Screenshots/LLM only after an anomaly.

## Status
**Placeholder** for Slice C. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-031 (expand), JI-032, JI-033, JI-034

## Notes
Placeholder only. Slice A U8 already emits the silence event shape. This slice adds dashboard, routing, and exception-based diagnose — not daily vision.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,slice-c,Job Intelligence,Slice C,SLICE-C,U8,placeholder,SC-ALERTS
[Slice C] Replay and backfill runbooks,"## Goal
A chosen run/bron can be replayed without data or effect duplication. Retention/deletion proven through derived stores.

## Status
**Placeholder** for Slice C. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-036, JI-043 (retention job beyond Slice A default)

## Notes
Placeholder only. Slice A has fixture replay + Motian-Neon read-only v1 backfill. This expands operator runbooks and DEC-008-complete retention.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,slice-c,Job Intelligence,Slice C,SLICE-C,U8,placeholder,SC-REPLAY
[Slice C] Load tests against the 200k Boolean SLO,"## Goal
Reproduce p50/p95/p99 on a versioned 200k profile in a shared environment; fail closed if p95 > 100 ms at SearchAdapter.

## Status
**Placeholder** for Slice C. Not implementation-ready. Expand into a full unit only after the parent slice is scheduled and blockers close.

## Maps to
JI-016 (production-scale evidence), JI-035

## Notes
Placeholder only. Slice A wires the benchmark profile and may run it on local compose. This issue is the hardening/load evidence, not a second search product.

## Blocked by
See Linear blocked-by relations on this issue (DEC-006 for all Slice B work).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,slice-c,Job Intelligence,Slice C,SLICE-C,"U6, U8",placeholder,SC-LOAD
[Later] Candidate Intelligence,"## Goal
Epic **stub** for Candidate Intelligence. No build issues until DPIA / grondslag exist.

## Status
Later. Not in Job Intelligence Slice A/B/C.

## Required before any build ticket
Provider/use-case register, DPIA/grondslag, provenance and TTL per assertion, correctie/bezwaar, meaningful human review, fairness-evals.

## Hard bans (do not issue)
Auto-reject of candidates, hidden top-N ranking as a decision, automatic candidate status writes, matching/screening as a P0 feature.

## Kind
Roadmap stub only — **zero** child build issues in this import.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,later,Job Intelligence,Later,,,epic,LATER-CI
[Later] Company OS,"## Goal
Epic **stub** for Company OS: deterministic policy / decision / evidence spine.

## Status
Later. Not in Job Intelligence Slice A/B/C.

## Direction (not a spec)
Typed action catalog, identity, doelbinding, policy, evidence, idempotency, budgets, receipts, versioned prompts/skills, controlled agent runtimes. MCP does not replace this control plane.

## Kind
Roadmap stub only — **zero** child build issues in this import.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Low,later,Job Intelligence,Later,,,epic,LATER-OS
